"Story","Title","Result","Date","Stability","Duration (s)"
"Sign in to schedule an appointment","The user logs in and schedules an appointment","SUCCESS","2023-12-01T10:15:26.8552342-05:00[America/Bogota]","0.0","14.77"
"Sign in to schedule an appointment","The user logs in and schedules an appointment","PENDING","2023-11-30T18:20:23.3340853-05:00[America/Bogota]","0.0","22.18"
